prefix,number,session,title
H.R.,2576,112,"To Amend the Internal Revenue Code of 1986 to Modify the Calculation of Modified Adjusted Gross Income for Purposes of Determining Eligibility for Certain Healthcare-Related Programs."
S.,275,112,"Pipeline Transportation Safety Improvement Act of 2011"
H.R.,2250,112,"EPA Regulatory Relief Act of 2011"
H.R.,2273,112,"Coal Residuals Reuse and Management Act"
H.R.,358,112,"Protect Life Act"
H.R.,2433,112,"Veterans Opportunity to Work Act of 2011"
H.R.,1025,112,"To Amend Title 38, United States Code, to Recognize the Service in the Reserve Components of Certain Persons by Honoring Them with Status As Veterans Under Law."
S.,1619,112,"Currency Exchange Rate Oversight Reform Act of 2011"
H.R.,2681,112,"Cement Sector Regulatory Relief Act of 2011"
H.R.,2401,112,"Transparency in Regulatory Analysis of Impacts on the Nation Act of 2011"
H.R.,2587,112,"Protecting Jobs From Government Interference Act"
H.R.,2218,112,"Empowering Parents Through Quality Charter Schools Act"
H.R.,1938,112,"North American-Made Energy Security Act"
H.R.,2560,112,"Cut, Cap, and Balance Act of 2011"
H.R.,1315,112,"Consumer Financial Protection Safety and Soundness Improvement Act of 2011"
H.R.,2018,112,"Clean Water Cooperative Federalism Act of 2011"
H.R.,2417,112,"Better Use of Light Bulbs Act"
H.R.,2021,112,"Jobs and Energy Permitting Act of 2011"
H.R.,872,112,"Reducing Regulatory Burdens Act of 2011"
H.Res.,292,112,"Declaring That the President Shall Not Deploy, Establish, or Maintain the Presence of Units and Members of the United States Armed Forces on the Ground in Libya, and for Other Purposes."
H.R.,1954,112,"To Implement the President's Request to Increase the Statutory Limit on the Public Debt."
H.Con.Res.,34,112,"Establishing the Budget for the United States Government for Fiscal Year 2012 and Setting Forth Appropriate Budgetary Levels for Fiscal Years 2013 Through 2021."
H.R.,1231,112,"Reversing President Obama's Offshore Moratorium Act"
H.R.,1229,112,"Putting the Gulf of Mexico Back to Work Act"
H.R.,3,112,"No Taxpayer Funding for Abortion Act"
H.R.,1230,112,"Restarting American Offshore Leasing Now Act"
H.R.,1213,112,"To Repeal Mandatory Funding Provided to States in the Patient Protection and Affordable Care Act to Establish American Health Benefit Exchanges."
S.,216,112,"Food Safety Accountability Act of 2011"
H.R.,1217,112,"To Repeal the Prevention and Public Health Fund."
H.J.Res.,37,112,"Disapproving the Rule Submitted by the Federal Communications Commission with Respect to Regulating the Internet and Broadband Industry Practices."
H.R.,910,112,"Energy Tax Prevention Act of 2011"
S.,223,112,"FAA Air Transportation Modernization and Safety Improvement Act"
H.R.,471,112,"Scholarships for Opportunity and Results Act"
H.R.,839,112,"HAMP Termination Act of 2011"
H.R.,1076,112,"To Prohibit Federal Funding of National Public Radio and the Use of Federal Funds to Acquire Radio Content."
H.R.,861,112,"NSP Termination Act"
H.R.,830,112,"FHA Refinance Program Termination Act"
H.R.,836,112,"Emergency Mortgage Relief Program Termination Act"
H.R.,570,112,"Dental Emergency Responder Act of 2011"
H.R.,525,112,"Veterinary Public Health Amendments Act of 2011"
S.,23,112,"America Invents Act"
H.R.,386,112,"Securing Aircraft Cockpits Against Lasers Act of 2011"
H.R.,359,112,"To Reduce Federal Spending and the Deficit by Terminating Taxpayer Financing of Presidential Election Campaigns and Party Conventions."
H.R.,2,112,"Repealing the Job-Killing Health Care Law Act"
H.Res.,9,112,"Instructing Certain Committees to Report Legislation Replacing the Job-Killing Health Care Law."
H.R.,1,112,"Disaster Relief Appropriations Act, 2013"
S.,1440,112,"PREEMIE Reauthorization Act"
H.J.Res.,66,112,"Emergency Supplemental Disaster Relief Appropriations Resolution, 2011"
S.,627,112,"Budget Control Act of 2011"
H.R.,6621,112,"To Correct and Improve Certain Provisions of the Leahy-Smith America Invents Act and Title 35, United States Code."
H.R.,4606,112,"To Authorize the Issuance of Right-Of-Way Permits for Natural Gas Pipelines in Glacier National Park, and for Other Purposes."
S.,3454,112,"Intelligence Authorization Act for Fiscal Year 2013"
H.R.,4310,112,"National Defense Authorization Act for Fiscal Year 2013"
H.R.,8,112,"American Taxpayer Relief Act of 2012"
H.R.,5949,112,"FISA Amendments Act Reauthorization Act of 2012"
H.R.,2838,112,"Coast Guard and Maritime Transportation Act of 2012"
S.,3542,112,"No-Hassle Flying Act of 2012"
H.R.,4014,112,"To Amend the Federal Deposit Insurance Act with Respect to Information Provided to the Bureau of Consumer Financial Protection."
H.R.,4367,112,"To Amend the Electronic Fund Transfer Act to Limit the Fee Disclosure Requirement for an Automatic Teller Machine to the Screen of That Machine."
H.R.,6582,112,"American Energy Manufacturing Technical Corrections Act"
H.R.,6156,112,"Russia and Moldova Jackson-Vanik Repeal and Sergei Magnitsky Rule of Law Accountability Act of 2012"
H.R.,6118,112,"Taking Essential Steps for Testing Act of 2012"
H.R.,6131,112,"To Extend the Undertaking Spam, Spyware, And Fraud Enforcement With Enforcers Beyond Borders Act of 2006, and for Other Purposes."
S.,2038,112,"STOCK Act"
S.,743,112,"Whistleblower Protection Enhancement Act of 2012"
S.,1956,112,"European Union Emissions Trading Scheme Prohibition Act of 2011"
H.R.,2706,112,"Billfish Conservation Act of 2012"
S.,710,112,"Hazardous Waste Electronic Manifest Establishment Act"
H.R.,1905,112,"Iran Threat Reduction and Syria Human Rights Act of 2012"
S.,679,112,"Presidential Appointment Efficiency and Streamlining Act of 2011"
H.R.,5872,112,"Sequestration Transparency Act of 2012"
S.,1335,112,"Pilot's Bill of Rights"
S.,2165,112,"United States-Israel Enhanced Security Cooperation Act of 2012"
S.,3187,112,"Food and Drug Administration Safety and Innovation Act"
H.R.,4348,112,"MAP-21"
H.R.,2072,112,"Export-Import Bank Reauthorization Act of 2012"
H.R.,3606,112,"Jumpstart Our Business Startups Act"
H.R.,4281,112,"Surface Transportation Extension Act of 2012"
H.R.,4105,112,"To Apply the Countervailing Duty Provisions of the Tariff Act of 1930 to Nonmarket Economy Countries, and for Other Purposes."
H.R.,3630,112,"Middle Class Tax Relief and Job Creation Act of 2012"
H.R.,658,112,"FAA Modernization and Reform Act of 2012"
H.R.,2845,112,"Pipeline Safety, Regulatory Certainty, and Job Creation Act of 2011"
H.R.,2056,112,"To Instruct the Inspector General of the Federal Deposit Insurance Corporation to Study the Impact of Insured Depository Institution Failures, and for Other Purposes."
H.R.,1540,112,"National Defense Authorization Act for Fiscal Year 2012"
H.R.,2055,112,"Consolidated Appropriations Act, 2012"
H.R.,2061,112,"Civilian Service Recognition Act of 2011"
H.R.,3321,112,"America's Cup Act of 2011"
H.R.,398,112,"To Amend the Immigration and Nationality Act to Toll, During Active-Duty Service Abroad in the Armed Forces, the Periods of Time to File a Petition and Appear for an Interview to Remove the Conditional Basis for Permanent Resident Status, and for Other Purposes."
H.R.,674,112,"3% Withholding Repeal and Job Creation Act"
H.R.,2112,112,"Consolidated and Further Continuing Appropriations Act, 2012"
H.R.,2832,112,"Trade Adjustment Assistance Extension Act of 2011"
H.R.,3078,112,"United States-Colombia Trade Promotion Agreement Implementation Act"
H.R.,3079,112,"United States-Panama Trade Promotion Agreement Implementation Act"
H.R.,3080,112,"United States-Korea Free Trade Agreement Implementation Act"
H.R.,2883,112,"Child and Family Services Improvement and Innovation Act"
H.R.,2887,112,"Surface and Air Transportation Programs Extension Act of 2011"
H.R.,1249,112,"Leahy-Smith America Invents Act"
H.R.,2553,112,"Airport and Airway Extension Act of 2011, Part IV"
S.,365,112,"Budget Control Act of 2011"
S.,1082,112,"Small Business Additional Temporary Extension Act of 2011"
S.,990,112,"PATRIOT Sunsets Extension Act of 2011"
H.R.,4,112,"Comprehensive 1099 Taxpayer Protection and Repayment of Exchange Subsidy Overpayments Act of 2011"
H.R.,662,112,"Surface Transportation Extension Act of 2011"
H.R.,514,112,"FISA Sunsets Extension Act of 2011"
