H.R. 1540 (112th), National Defense Authorization Act for Fiscal Year 2012
H.R. 2055 (112th), Consolidated Appropriations Act, 2012
H.R. 2061 (112th), Civilian Service Recognition Act of 2011
H.R. 3321 (112th), America's Cup Act of 2011
H.R. 398 (112th), To Amend the Immigration and Nationality Act to Toll, During Active-Duty Service Abroad in the Armed Forces, the Periods of Time to File a Petition and Appear for an Interview to Remove the Conditional Basis for Permanent Resident Status, and for Other Purposes.
H.R. 674 (112th), 3% Withholding Repeal and Job Creation Act
H.R. 2112 (112th), Consolidated and Further Continuing Appropriations Act, 2012
H.R. 2832 (112th), Trade Adjustment Assistance Extension Act of 2011
H.R. 3078 (112th), United States-Colombia Trade Promotion Agreement Implementation Act
H.R. 3079 (112th), United States-Panama Trade Promotion Agreement Implementation Act
H.R. 3080 (112th), United States-Korea Free Trade Agreement Implementation Act
H.R. 2883 (112th), Child and Family Services Improvement and Innovation Act
H.R. 2887 (112th), Surface and Air Transportation Programs Extension Act of 2011
H.R. 1249 (112th), Leahy-Smith America Invents Act
H.R. 2553 (112th), Airport and Airway Extension Act of 2011, Part IV
S. 365 (112th), Budget Control Act of 2011
S. 1082 (112th), Small Business Additional Temporary Extension Act of 2011
S. 990 (112th), PATRIOT Sunsets Extension Act of 2011
H.R. 4 (112th), Comprehensive 1099 Taxpayer Protection and Repayment of Exchange Subsidy Overpayments Act of 2011
H.R. 662 (112th), Surface Transportation Extension Act of 2011
H.R. 514 (112th), FISA Sunsets Extension Act of 2011
